No,Date,Year,Language Group,Speech/Event,Interaction Type,Field Domain,Field,Tenor,Mode,Opening Evidence,Word Count,File Path
011,2024-11-09,2024,English,Pertemuan Bilateral Presiden RI dengan Perdana Menteri RRT,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—diplomatic exchange / joint statement; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.",Language role—primary/ceremonial and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—English; genre—diplomatic address or joint statement.,"Thank you very much, Your Excellency Prime Minister of the People’s Republic of China, Your Excellency Mr Li Qiang and Distinguished Leaders of the Government of the People’s Republic of China. Once again, thank you ver...",474,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/011 - President Speech - 2024-11-09 - Pertemuan Bilateral Presiden RI dengan Perdana Menteri RRT.txt
012,2024-11-09,2024,English,Pertemuan Bilateral Presiden RI dengan Presiden RRT,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—diplomatic exchange / joint statement; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.",Language role—primary/ceremonial and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—English; genre—diplomatic address or joint statement.,"Your Excellency President Xi Jinping, President of the People’s Republic of China and Distinguished Leaders of the Government of the People’s Republic of China. First of all, I am very grateful that you have received me...",367,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/012 - President Speech - 2024-11-09 - Pertemuan Bilateral Presiden RI dengan Presiden RRT.txt
013,2024-11-10,2024,English,"Remarks of President Prabowo Subianto at Indonesia-China Business Forum, in Beijing, People’s Republic",Ceremonial / policy address,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—ceremonial / policy address; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.","Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—English; genre—prepared presidential speech/address.","His Excellency Mr. Gao Yunlong, Vice Chairman of the 14th National Committee of the Chinese People’s Political Consultative Conference, and also Chairperson of the All-China Federation of Industry and Commerce. Thank yo...",619,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/013 - President Speech - 2024-11-10 - Remarks of President Prabowo Subianto at Indonesia-China Business Forum, in Beijing, People’s Republic.txt"
014,2024-11-11,2024,Bahasa Indonesia,usai Pertemuan dengan Anggota Korporasi The United States – Indonesia Society (USINDO),Press statement / media Q&A,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—press statement / media q&a; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and journalists/media, with the wider public as overhearing audience; relationship—asymmetrical institutional authority with responsive questioning; social proximity—public, medium distance.","Language role—primary/interpersonal and informational; channel—voice/sound; medium—spoken transcript; register—semi-formal, partly spontaneous; language—Bahasa Indonesia; genre—press transcript with question-answer or statement-response organization.","Presiden Republik Indonesia (Prabowo Subianto) Ya saya sangat gembira, pertemuan tadi dengan perusahaan-perusahaan terbesar di Amerika dan di dunia. Mereka sangat terlibat dalam perekonomian Indonesia, dalam pembangunan...",101,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/014 - President Speech - 2024-11-11 - usai Pertemuan dengan Anggota Korporasi The United States – Indonesia Society (USINDO).txt
015,2024-11-12,2024,English,"Pertemuan Bilateral Presiden RI dengan Presiden Amerika Serikat di White House, Washington DC, Amerika",Diplomatic exchange / joint statement,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—diplomatic exchange / joint statement; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.",Language role—primary/ceremonial and persuasive; channel—voice/sound; medium—spoken transcript; register—formal to semi-formal; language—English; genre—diplomatic address or joint statement.,"Thank you, thank you President Biden, thank you for receiving me. I also would like to thank you, you phoned me, yourself, upon my election and the… yeah thank you very much and then finally I could make it, and you rec...",118,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/015 - President Speech - 2024-11-12 - Pertemuan Bilateral Presiden RI dengan Presiden Amerika Serikat di White House, Washington DC, Amerika.txt"
016,2024-11-13,2024,Bahasa Indonesia,"usai Pertemuan dengan Menteri Pertahanan Amerika Serikat, 13 November 2024",Press statement / media Q&A,"Defence, security, law, and public order","Defence institutions, police/military, law enforcement, corruption, narcotics, or security; activity type—press statement / media q&a; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and journalists/media, with the wider public as overhearing audience; relationship—asymmetrical institutional authority with responsive questioning; social proximity—public, medium distance.","Language role—primary/interpersonal and informational; channel—voice/sound; medium—spoken transcript; register—semi-formal, partly spontaneous; language—Bahasa Indonesia; genre—press transcript with question-answer or statement-response organization.","Wartawan Bagaimana Pak tadi pertemuan sama Menhan AS? Presiden Republik Indonesia (Prabowo Subianto) Saya kira hubungan baik, saya sama beliau sudah bekerja sama lama ya. Ya kita bicara masalah-masalah yang saya kira ya...",261,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/016 - President Speech - 2024-11-13 - usai Pertemuan dengan Menteri Pertahanan Amerika Serikat, 13 November 2024.txt"
017,2024-11-14,2024,English,"Keynote Speech Presiden Prabowo Subianto pada APEC CEO Summit Peru 2024, 14 November 2024",Ceremonial / policy address,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—ceremonial / policy address; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.","Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—English; genre—prepared presidential speech/address.","His Excellency Mr. Fernando Zavala, Chairman of the APEC CEO Summit 2024 and former Prime Minister of Peru; Distinguished Panelists; Distinguished Delegates from Indonesia, all the Ministers attending; I would like also...",1073,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/017 - President Speech - 2024-11-14 - Keynote Speech Presiden Prabowo Subianto pada APEC CEO Summit Peru 2024, 14 November 2024.txt"
018,2024-11-14,2024,English,Press Statement of President Prabowo Subianto after Bilateral Meeting of President of the Republic of,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—diplomatic exchange / joint statement; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.",Language role—primary/ceremonial and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—English; genre—diplomatic address or joint statement.,"Your Excellency Madam President Dina Boluarte, Distinguished Leaders of the Peruvian Government, friends from the media, Once again I would like to thank Madam President Dina Boluarte for your kind reception, the grand...",320,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/018 - President Speech - 2024-11-14 - Press Statement of President Prabowo Subianto after Bilateral Meeting of President of the Republic of.txt
019,2024-11-14,2024,English,Remarks of President Prabowo Subianto after Bilateral Meeting of President of the Republic of Indonesia,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—diplomatic exchange / joint statement; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.",Language role—primary/ceremonial and persuasive; channel—voice/sound; medium—spoken transcript; register—formal to semi-formal; language—English; genre—diplomatic address or joint statement.,"Once again, I would like to thank you for the very great reception I have received. This is, yes, my first time to visit officially Peru. And I would like to emphasize here that I would like to strengthen the relations...",152,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/019 - President Speech - 2024-11-14 - Remarks of President Prabowo Subianto after Bilateral Meeting of President of the Republic of Indonesia.txt
020,2024-11-16,2024,Bahasa Indonesia,"usai Leaders Retreat Konferensi Tingkat Tinggi (KTT) APEC 2024, 16 November 2024",Press statement / media Q&A,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—press statement / media q&a; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and journalists/media, with the wider public as overhearing audience; relationship—asymmetrical institutional authority with responsive questioning; social proximity—public, medium distance.","Language role—primary/interpersonal and informational; channel—voice/sound; medium—spoken transcript; register—semi-formal, partly spontaneous; language—Bahasa Indonesia; genre—press transcript with question-answer or statement-response organization.","Wartawan Soal APEC, Pak? Presiden Republik Indonesia (Prabowo Subianto) Ya saya kira kesempatan yang baik APEC (Asia-Pacific Economic Cooperation) ya, kita meneruskan suatu jaringan/network antara pemimpin-pemimpin di P...",90,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/020 - President Speech - 2024-11-16 - usai Leaders Retreat Konferensi Tingkat Tinggi (KTT) APEC 2024, 16 November 2024.txt"
021,2024-11-17,2024,English,"Forum Bisnis Indonesia-Brasil, 17 November 2024",Ceremonial / policy address,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—ceremonial / policy address; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.","Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—English; genre—prepared presidential speech/address.","Ladies and Gentlemen, Attendees of the Indonesia-Brazil Business Forum. Thank you very much for this occasion, thank you very much for the organizers, and thank you very much distinguished guests who I understand come f...",1316,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/021 - President Speech - 2024-11-17 - Forum Bisnis Indonesia-Brasil, 17 November 2024.txt"
022,2024-11-17,2024,English,"Sambutan Presiden Prabowo pada Pertemuan Bilateral dengan Sekretaris Jenderal (Sekjen) PBB, 17 November",Diplomatic exchange / joint statement,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—diplomatic exchange / joint statement; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.",Language role—primary/ceremonial and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—English; genre—diplomatic address or joint statement.,"First of all, Your Excellency Secretary General of the United Nations, His Excellency Mr. Antonio Guterres, thank you very much for meeting with us today in the middle of your very busy schedule. I understand you flew 2...",441,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/022 - President Speech - 2024-11-17 - Sambutan Presiden Prabowo pada Pertemuan Bilateral dengan Sekretaris Jenderal (Sekjen) PBB, 17 November.txt"
023,2024-11-17,2024,Bahasa Indonesia,"usai Pertemuan Bilateral dengan Sekretaris Jenderal (Sekjen) PBB, 17 November 2024",Press statement / media Q&A,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—press statement / media q&a; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and journalists/media, with the wider public as overhearing audience; relationship—asymmetrical institutional authority with responsive questioning; social proximity—public, medium distance.","Language role—primary/interpersonal and informational; channel—voice/sound; medium—spoken transcript; register—semi-formal, partly spontaneous; language—Bahasa Indonesia; genre—press transcript with question-answer or statement-response organization.","Wartawan Tadi kan memulai lawatan pertama [di Brasil] dengan bertemu Sekjen PBB. Tadi apa saja sih Pak, yang ditekankan? Presiden Republik Indonesia (Prabowo Subianto) Jadi Sekjen PBB sangat menghargai sikap Indonesia d...",400,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/023 - President Speech - 2024-11-17 - usai Pertemuan Bilateral dengan Sekretaris Jenderal (Sekjen) PBB, 17 November 2024.txt"
024,2024-11-18,2024,English,"Sesi Pertama Konferensi Tingkat Tinggi (KTT) G20, 18 November 2024",Ceremonial / policy address,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—ceremonial / policy address; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.","Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—English; genre—prepared presidential speech/address.","Thank you very much. It is my great honor today to address this G20 Summit. It is my first summit. Your Excellency, President of the Federative Republic of Brazil, Mr. Luiz Inácio Lula da Silva; Esteemed Leaders of the...",427,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/024 - President Speech - 2024-11-18 - Sesi Pertama Konferensi Tingkat Tinggi (KTT) G20, 18 November 2024.txt"
025,2024-11-19,2024,English,"Sesi Ketiga Konferensi Tingkat Tinggi (KTT) G20, 19 November 2024",Ceremonial / policy address,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—ceremonial / policy address; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.","Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—English; genre—prepared presidential speech/address.","President Lula; Distinguished Excellencies. Yesterday we have discussed the problems of poverty and hunger. We all have strong commitments to address the issues. Those challenges indeed affect developing countries, thei...",573,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/025 - President Speech - 2024-11-19 - Sesi Ketiga Konferensi Tingkat Tinggi (KTT) G20, 19 November 2024.txt"
026,2024-11-21,2024,Bahasa Indonesia,usai Menghadiri CEO Roundtable Forum,Press statement / media Q&A,"Economy, investment, and business","Investment promotion, banking, business confidence, trade, finance, or industrial growth; activity type—press statement / media q&a; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and journalists/media, with the wider public as overhearing audience; relationship—asymmetrical institutional authority with responsive questioning; social proximity—public, medium distance.","Language role—primary/interpersonal and informational; channel—voice/sound; medium—spoken transcript; register—semi-formal, partly spontaneous; language—Bahasa Indonesia; genre—press transcript with question-answer or statement-response organization.","Presiden Republik Indonesia (Prabowo Subianto) Tentunya ini kan kunjungan kehormatan ya, saya datang. Dan beliau [Raja Charles III] sangat perhatian terhadap lingkungan, terhadap pelestarian hutan, pelestarian alam. Di...",456,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/026 - President Speech - 2024-11-21 - usai Menghadiri CEO Roundtable Forum.txt
027,2024-11-23,2024,Bahasa Indonesia,"Pertemuan Bilateral Presiden RI dengan Presiden Uni Emirat Arab di Qasr Al Want, Abu Dhabi, 23 November",Diplomatic exchange / joint statement,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—diplomatic exchange / joint statement; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.",Language role—primary/ceremonial and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—diplomatic address or joint statement.,"Yang saya hormati, Yang Mulia Presiden Uni Emirat Arab Presiden Mohamed bin Zayed Al Nahyan, beserta semua pimpinan dari Pemerintah Emirat yang saya hormati. Saya ingin ucapkan terima kasih yang sebesar-besarnya kepada...",437,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/027 - President Speech - 2024-11-23 - Pertemuan Bilateral Presiden RI dengan Presiden Uni Emirat Arab di Qasr Al Want, Abu Dhabi, 23 November.txt"
028,2024-11-28,2024,Bahasa Indonesia,Puncak Peringatan Hari Guru Nasional Tahun 2024,Presidential address,Education and human-capital development,"Schools, universities, teachers, students, defence education, or human-resource development; activity type—presidential address; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,"Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh. Salam sejahtera bagi kita sekalian, Syalom, Om swastiastu, Namo Buddhaya, Salam Kebajikan. Saudara-saudara sekalian yang saya hormati para Menteri K...",1834,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/028 - President Speech - 2024-11-28 - Puncak Peringatan Hari Guru Nasional Tahun 2024.txt
